Title,Description,Link,Category,Publication Date,article_id
Twenty20 World Cup: International Cricket Council announces star-studded commentary panel,"Dinesh Karthik, who retired from all forms of cricket after his team Royal Challengers Bengaluru's IPL campaign, has also been named in the commentary panel list.",https://www.thehindu.com/sport/cricket/twenty20-world-cup-international-cricket-council-announces-star-studded-commentary-panel/article68211276.ece,Sport,"Fri, 24 May 2024 17:34:09 +0530",73
"Are export ban, stocking limits on rice and wheat curbing inflation? | Data","A look at the various limits and bans on wheat and rice stocks and exports in the recent past, and their impact",https://www.thehindu.com/data/export-bans-and-stocking-limits-on-rice-and-wheat-are-they-working-data/article67325618.ece,Business,"Wed, 20 Sep 2023 14:32:42 +0530",74
Tracing Bengaluru’s secular cultural heritage,The International Music & Arts Society’s 40th year commemorative volume shows how it became a significant chronicler of art,https://www.thehindu.com/entertainment/music/tracing-bengalurus-secular-cultural-heritage/article68079366.ece,Entertainment,"Sat, 20 Apr 2024 13:23:20 +0530",76
"SPIC MACAY Convention 2024, at IIT Madras","From May 20 to 26, all roads will lead to IIT Madras for the cultural extravaganza featuring stalwart artistes, yoga experts and scholars.",https://www.thehindu.com/entertainment/music/spic-macay-gears-up-for-its-international-convention-in-chennai/article68175040.ece,Entertainment,"Wed, 15 May 2024 16:14:59 +0530",77
Nirmala Kannan’s concert of golden oldies in Thiruvananthapuram to raise funds for an institute for special children,"Tune in to Hope and Harmony,  a fundraiser concert in Thiruvananthapuram, on June  8",https://www.thehindu.com/entertainment/music/nirmala-kannan-to-sing-in-thiruvananthapuram-to-raise-funds-for-an-institute-for-special-children/article68220597.ece,Entertainment,"Mon, 27 May 2024 16:15:00 +0530",78
Lewandowski hat-trick leads Barca to 4-2 win over 10-man Valencia,Barcelona's win postponed for a couple of weeks Real Madrid's almost inevitable LaLiga title celebrations as Carlo Ancelotti's side sit atop the standings on 84 points,https://www.thehindu.com/sport/football/lewandowski-hat-trick-leads-barca-to-4-2-win-over-10-man-valencia/article68126477.ece,Sport,"Wed, 01 May 2024 04:13:00 +0530",79
International Dance Day: Many late bloomers in Thiruvananthapuram are discovering the joy of dance,These  women are rediscovering their inner dancer after a break. April 29 is International Dance Day,https://www.thehindu.com/entertainment/dance/many-late-bloomers-in-thiruvananthapuram-are-taking-to-dance-to-rekindle-their-childhood-aspirations/article68101453.ece,Entertainment,"Fri, 26 Apr 2024 13:21:05 +0530",80
Budget breakdown: Which sectors gained and lost in the Interim Budget | Data,Budget allocated to the fertiliser subsidy recorded the biggest drop,https://www.thehindu.com/business/budget/budget-breakdown-which-sectors-gained-and-lost-in-the-interim-budget-data/article67801197.ece,Business,"Thu, 01 Feb 2024 19:41:27 +0530",81
Explore Chennai’s new walking trails and discover its growing fitness culture,Is fitness your top priority for 2024? Team MetroPlus tracks down enthusiasts to find out which traffic-free stretches to hit for a walk or run and perhaps a post-workout snack,https://www.thehindu.com/life-and-style/fitness/explore-chennais-new-walking-trails-and-discover-its-growing-fitness-culture/article67744270.ece,life-and-style,"Wed, 17 Jan 2024 17:29:17 +0530",82
‘Moorane Krishnappa’ movie review: A fantastic rural comedy with Rangayana Raghu and Sampath Maitreya in great form,"With its quirky, relatable comedy powered by gifted actors, Naveen Narayanaghatta’s ‘Moorane Krishnappa’ is a delightful watch from start to finish",https://www.thehindu.com/entertainment/movies/moorane-krishnappa-movie-review-a-fantastic-rural-comedy-with-rangayana-raghu-and-sampath-maitreya-in-great-form/article68210773.ece,Entertainment,"Fri, 24 May 2024 15:28:15 +0530",83
Watch out for these fashion trends in 2024,"New year, new you? Here’s what to add and subtract from your wardrobe for a stylish year ahead",https://www.thehindu.com/life-and-style/fashion/watch-out-for-these-fashion-trends-in-2024/article67675775.ece,life-and-style,"Fri, 05 Jan 2024 17:15:16 +0530",84
Students of a government school in Kerala paint a mural on their library wall,"How a group of students of the Government Model Residential School, Wadakkanchery in Kerala, turned their library wall into a striking work of art",https://www.thehindu.com/life-and-style/students-of-a-government-school-in-kerala-paint-a-mural-on-their-library-wall/article67915971.ece,Entertainment,"Fri, 08 Mar 2024 09:58:28 +0530",85
The colours of 2024,"These choices work for modern, classic, casual, retro, or boho chic spaces",https://www.thehindu.com/life-and-style/homes-and-gardens/home-interiors-paints-colours-of-the-year/article67561251.ece,life-and-style,"Fri, 01 Dec 2023 15:50:56 +0530",86
Delhi Open | Wong to face Blancaneaux in the summit clash,The 19-year-old overcomes Shimizu of Japan in the semifinal; the Frenchman eases past Boyer in the other last-four clash,https://www.thehindu.com/sport/tennis/delhi-open-tennis-final/article67908572.ece,Sport,"Sun, 03 Mar 2024 00:24:59 +0530",87
